Month,cluster,Book Sales
2011-01,1,7
2011-01,2,1
2011-01,3,0
2011-01,4,0
2011-01,5,14
2011-01,6,8
2011-01,7,1
2011-01,8,0
2011-02,1,13
2011-02,2,0
2011-02,3,0
2011-02,4,0
2011-02,5,15
2011-02,6,8
2011-02,7,2
2011-02,8,0
2011-03,1,16
2011-03,2,1
2011-03,3,0
2011-03,4,0
2011-03,5,19
2011-03,6,5
2011-03,7,0
2011-03,8,0
2011-04,1,32
2011-04,2,1
2011-04,3,0
2011-04,4,0
2011-04,5,54
2011-04,6,5
2011-04,7,1
2011-04,8,0
2011-05,1,54
2011-05,2,3
2011-05,3,0
2011-05,4,0
2011-05,5,61
2011-05,6,10
2011-05,7,4
2011-05,8,0
2011-06,1,69
2011-06,2,5
2011-06,3,0
2011-06,4,0
2011-06,5,84
2011-06,6,15
2011-06,7,6
2011-06,8,0
2011-07,1,57
2011-07,2,3
2011-07,3,0
2011-07,4,0
2011-07,5,64
2011-07,6,19
2011-07,7,2
2011-07,8,0
2011-08,1,64
2011-08,2,3
2011-08,3,0
2011-08,4,0
2011-08,5,82
2011-08,6,12
2011-08,7,0
2011-08,8,0
2011-09,1,47
2011-09,2,0
2011-09,3,0
2011-09,4,0
2011-09,5,59
2011-09,6,8
2011-09,7,3
2011-09,8,0
2011-10,1,64
2011-10,2,1
2011-10,3,0
2011-10,4,0
2011-10,5,82
2011-10,6,9
2011-10,7,2
2011-10,8,0
2011-11,1,70
2011-11,2,3
2011-11,3,0
2011-11,4,0
2011-11,5,101
2011-11,6,12
2011-11,7,2
2011-11,8,0
2011-12,1,116
2011-12,2,3
2011-12,3,0
2011-12,4,0
2011-12,5,122
2011-12,6,19
2011-12,7,2
2011-12,8,0
2012-01,1,82
2012-01,2,4
2012-01,3,0
2012-01,4,0
2012-01,5,100
2012-01,6,10
2012-01,7,2
2012-01,8,0
2012-02,1,60
2012-02,2,4
2012-02,3,0
2012-02,4,0
2012-02,5,95
2012-02,6,9
2012-02,7,4
2012-02,8,0
2012-03,1,95
2012-03,2,5
2012-03,3,0
2012-03,4,0
2012-03,5,109
2012-03,6,11
2012-03,7,9
2012-03,8,0
2012-04,1,74
2012-04,2,7
2012-04,3,0
2012-04,4,0
2012-04,5,75
2012-04,6,8
2012-04,7,2
2012-04,8,0
2012-05,1,88
2012-05,2,5
2012-05,3,0
2012-05,4,0
2012-05,5,136
2012-05,6,17
2012-05,7,4
2012-05,8,0
2012-06,1,86
2012-06,2,12
2012-06,3,0
2012-06,4,0
2012-06,5,133
2012-06,6,17
2012-06,7,6
2012-06,8,0
2012-07,1,112
2012-07,2,33
2012-07,3,0
2012-07,4,0
2012-07,5,116
2012-07,6,17
2012-07,7,6
2012-07,8,0
2012-08,1,121
2012-08,2,47
2012-08,3,0
2012-08,4,0
2012-08,5,141
2012-08,6,17
2012-08,7,7
2012-08,8,0
2012-09,1,114
2012-09,2,32
2012-09,3,0
2012-09,4,0
2012-09,5,101
2012-09,6,17
2012-09,7,5
2012-09,8,0
2012-10,1,98
2012-10,2,32
2012-10,3,0
2012-10,4,0
2012-10,5,98
2012-10,6,14
2012-10,7,2
2012-10,8,0
2012-11,1,115
2012-11,2,29
2012-11,3,0
2012-11,4,0
2012-11,5,111
2012-11,6,20
2012-11,7,4
2012-11,8,0
2012-12,1,119
2012-12,2,38
2012-12,3,0
2012-12,4,0
2012-12,5,133
2012-12,6,27
2012-12,7,7
2012-12,8,0
2013-01,1,129
2013-01,2,43
2013-01,3,0
2013-01,4,0
2013-01,5,153
2013-01,6,17
2013-01,7,5
2013-01,8,0
2013-02,1,113
2013-02,2,33
2013-02,3,0
2013-02,4,0
2013-02,5,126
2013-02,6,21
2013-02,7,9
2013-02,8,0
2013-03,1,130
2013-03,2,40
2013-03,3,0
2013-03,4,0
2013-03,5,133
2013-03,6,30
2013-03,7,6
2013-03,8,0
2013-04,1,128
2013-04,2,37
2013-04,3,0
2013-04,4,0
2013-04,5,162
2013-04,6,35
2013-04,7,11
2013-04,8,0
2013-05,1,150
2013-05,2,25
2013-05,3,0
2013-05,4,0
2013-05,5,204
2013-05,6,35
2013-05,7,6
2013-05,8,0
2013-06,1,114
2013-06,2,46
2013-06,3,0
2013-06,4,0
2013-06,5,148
2013-06,6,25
2013-06,7,5
2013-06,8,0
2013-07,1,104
2013-07,2,37
2013-07,3,0
2013-07,4,0
2013-07,5,160
2013-07,6,25
2013-07,7,5
2013-07,8,0
2013-08,1,80
2013-08,2,36
2013-08,3,0
2013-08,4,0
2013-08,5,127
2013-08,6,39
2013-08,7,6
2013-08,8,0
2013-09,1,109
2013-09,2,28
2013-09,3,0
2013-09,4,0
2013-09,5,125
2013-09,6,33
2013-09,7,12
2013-09,8,0
2013-10,1,92
2013-10,2,43
2013-10,3,0
2013-10,4,0
2013-10,5,156
2013-10,6,50
2013-10,7,10
2013-10,8,0
2013-11,1,111
2013-11,2,54
2013-11,3,0
2013-11,4,0
2013-11,5,183
2013-11,6,66
2013-11,7,6
2013-11,8,0
2013-12,1,132
2013-12,2,50
2013-12,3,0
2013-12,4,0
2013-12,5,198
2013-12,6,70
2013-12,7,6
2013-12,8,0
2014-01,1,163
2014-01,2,68
2014-01,3,0
2014-01,4,0
2014-01,5,226
2014-01,6,63
2014-01,7,12
2014-01,8,0
2014-02,1,111
2014-02,2,43
2014-02,3,0
2014-02,4,0
2014-02,5,161
2014-02,6,42
2014-02,7,4
2014-02,8,0
2014-03,1,146
2014-03,2,60
2014-03,3,0
2014-03,4,0
2014-03,5,176
2014-03,6,49
2014-03,7,8
2014-03,8,0
2014-04,1,107
2014-04,2,61
2014-04,3,0
2014-04,4,0
2014-04,5,204
2014-04,6,49
2014-04,7,8
2014-04,8,0
2014-05,1,127
2014-05,2,60
2014-05,3,0
2014-05,4,0
2014-05,5,222
2014-05,6,45
2014-05,7,7
2014-05,8,0
2014-06,1,107
2014-06,2,43
2014-06,3,0
2014-06,4,0
2014-06,5,178
2014-06,6,42
2014-06,7,4
2014-06,8,0
2014-07,1,107
2014-07,2,52
2014-07,3,0
2014-07,4,0
2014-07,5,171
2014-07,6,33
2014-07,7,7
2014-07,8,0
2014-08,1,120
2014-08,2,70
2014-08,3,0
2014-08,4,0
2014-08,5,219
2014-08,6,56
2014-08,7,12
2014-08,8,0
2014-09,1,90
2014-09,2,41
2014-09,3,0
2014-09,4,0
2014-09,5,129
2014-09,6,34
2014-09,7,5
2014-09,8,0
2014-10,1,87
2014-10,2,65
2014-10,3,0
2014-10,4,0
2014-10,5,173
2014-10,6,55
2014-10,7,8
2014-10,8,0
2014-11,1,161
2014-11,2,92
2014-11,3,0
2014-11,4,0
2014-11,5,240
2014-11,6,60
2014-11,7,11
2014-11,8,0
2014-12,1,178
2014-12,2,58
2014-12,3,0
2014-12,4,0
2014-12,5,269
2014-12,6,65
2014-12,7,7
2014-12,8,0
2015-01,1,175
2015-01,2,80
2015-01,3,0
2015-01,4,0
2015-01,5,309
2015-01,6,51
2015-01,7,10
2015-01,8,0
2015-02,1,171
2015-02,2,82
2015-02,3,0
2015-02,4,0
2015-02,5,254
2015-02,6,63
2015-02,7,17
2015-02,8,0
2015-03,1,181
2015-03,2,94
2015-03,3,0
